topology,n_samples,strategy,seed_time_s_mean,seed_time_s_std,em_time_s_mean,em_time_s_std,total_time_s_mean,total_time_s_std,em_iterations_mean,em_iterations_std,final_inertia_mean,final_inertia_std,seed_alignment_error_mean,seed_alignment_error_std,rounds_mean
standard,10000,kmeans++,0.0043,0.000141,0.84809,1.191927,0.852385,1.191779,19.0,2.828427,638579.375,48933.733802,6.492549,0.426948,
standard,10000,kmeans||_fixed_R2,0.013755,0.000361,0.004525,0.001195,0.01828,0.000834,16.0,7.071068,467218.97,12794.390099,3.556897,0.117701,2.0
standard,10000,kmeans||_adaptive,0.016895,0.001322,0.00258,0.000891,0.019475,0.002213,6.0,5.656854,439621.22,23852.479496,2.67153,0.41107,3.0
standard,100000,kmeans++,0.053505,0.0049,0.03832,0.005558,0.091825,0.010458,33.0,7.071068,5891164.25,761062.210572,6.047095,0.131014,
standard,100000,kmeans||_fixed_R2,0.05649,0.000636,0.03194,0.009419,0.088435,0.010048,22.0,9.899495,4873345.25,427423.068257,3.487935,0.457388,2.0
standard,100000,kmeans||_adaptive,0.059175,0.006569,0.019585,0.007601,0.07875,0.01417,7.5,6.363961,4396207.75,250213.62361,2.754107,0.221645,3.0
standard,1000000,kmeans++,0.50201,0.020223,0.30902,0.070739,0.811035,0.090969,25.5,9.192388,57082922.0,9898626.609484,6.932986,0.991153,
standard,1000000,kmeans||_fixed_R2,0.40067,0.048946,0.14017,0.004978,0.54084,0.043968,2.5,0.707107,44395122.0,3095823.796693,3.211844,0.723761,2.0
standard,1000000,kmeans||_adaptive,0.4958,0.009079,0.159335,0.025618,0.65513,0.034691,5.5,2.12132,46137088.0,507470.737868,3.277849,0.105316,3.0
anisotropic,10000,kmeans++,0.00617,0.00041,0.00385,0.000269,0.010025,0.000672,15.5,0.707107,2346766.0,172369.652283,10.469295,0.880104,
anisotropic,10000,kmeans||_fixed_R2,0.01675,0.001273,0.00308,0.001499,0.01983,0.002772,6.5,6.363961,1207035.435,139657.570296,5.204245,0.449808,2.0
