topology,n_samples,strategy,seed_time_s_mean,seed_time_s_std,em_time_s_mean,em_time_s_std,total_time_s_mean,total_time_s_std,em_iterations_mean,em_iterations_std,final_inertia_mean,final_inertia_std,seed_alignment_error_mean,seed_alignment_error_std,rounds_mean
standard,10000,kmeans++,0.008724,0.001696,0.328386,0.715371,0.337112,0.714145,18.6,2.50998,577464.874,65118.353235,6.463604,0.219244,
standard,10000,kmeans||_fixed_R2,0.026714,0.00451,0.007394,0.002315,0.034106,0.005661,13.0,7.211103,464208.32,30674.974852,3.445811,0.224448,2.0
standard,10000,kmeans||_adaptive,0.026196,0.005367,0.007012,0.002216,0.03321,0.006397,8.8,8.043631,444544.388,20136.950696,2.896427,0.436877,3.0
standard,100000,kmeans++,0.079466,0.007552,0.055024,0.011302,0.13449,0.017781,29.6,5.412947,5986346.6,507918.948704,6.276733,0.484408,
standard,100000,kmeans||_fixed_R2,0.073216,0.012682,0.040638,0.013257,0.113854,0.024241,15.2,9.284396,4729410.0,378394.138776,3.364663,0.406655,2.0
standard,100000,kmeans||_adaptive,0.080414,0.003049,0.03207,0.005578,0.112486,0.007068,9.4,5.639149,4469938.6,240167.6227,2.806994,0.217953,3.0
standard,1000000,kmeans++,0.599034,0.006944,0.369164,0.109902,0.968196,0.107564,19.2,11.903781,56761454.4,8274708.822131,6.383758,0.765051,
standard,1000000,kmeans||_fixed_R2,0.462376,0.045607,0.20368,0.026281,0.666058,0.062167,4.6,2.701851,44486158.4,2111324.705596,3.246762,0.37266,2.0
standard,1000000,kmeans||_adaptive,0.543994,0.007748,0.2149,0.023596,0.758894,0.023609,4.0,1.732051,43778465.6,2168014.754844,2.924841,0.334382,3.0
imbalanced,10000,kmeans++,0.00697,0.00086,0.009936,0.001237,0.016904,0.001691,38.0,10.173495,250369.288,11500.897253,3.607718,0.370022,
imbalanced,10000,kmeans||_fixed_R2,0.020478,0.002292,0.011554,0.002526,0.032032,0.00273,45.6,17.586927,236330.884,6368.90647,2.530303,0.568573,2.0
imbalanced,10000,kmeans||_adaptive,0.019776,0.002279,0.010546,0.003713,0.030326,0.004283,37.4,15.420765,234103.53,8156.965317,2.584197,0.361673,3.0
